CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
FC 08 Homburg,28,"27,0",4,-,-,1987
1.FC Nürnberg,22,"24,5",3,-,-,1987
Hannover 96,23,"26,0",3,-,-,1987
Bayer 04 Leverkusen,24,"25,3",4,-,-,1987
Karlsruher SC,27,"23,4",2,-,-,1987
Borussia Dortmund,22,"25,3",2,-,-,1987
VfB Stuttgart,23,"24,8",1,-,-,1987
Borussia Mönchengladbach,24,"24,7",3,-,-,1987
VfL Bochum,28,"25,0",3,-,-,1987
Eintracht Frankfurt,25,"24,8",4,-,-,1987
SV Waldhof Mannheim,26,"25,9",4,-,-,1987
FC Bayern München,22,"24,4",2,-,-,1988
SV Waldhof Mannheim,23,"25,7",3,-,-,1988
1.FC Kaiserslautern,25,"24,5",1,-,-,1988
FC St. Pauli,24,"26,4",3,-,-,1988
SV Werder Bremen,19,"27,1",2,-,-,1988
1.FC Köln,24,"26,2",3,-,-,1988
Hamburger SV,24,"25,6",2,-,-,1988
Bayer 05 Uerdingen,24,"25,5",2,-,-,1988
1.FC Nürnberg,28,"25,0",4,-,-,1988
Hannover 96,24,"26,0",2,-,-,1988
Bayer 04 Leverkusen,23,"25,4",4,-,-,1988
Karlsruher SC,24,"24,1",2,-,-,1988
Borussia Dortmund,21,"25,4",3,-,-,1988
Stuttgarter Kickers,25,"26,1",3,-,-,1988
Borussia Mönchengladbach,28,"24,8",6,-,-,1988
VfB Stuttgart,21,"24,4",2,-,-,1988
Eintracht Frankfurt,25,"25,7",4,-,-,1988
VfL Bochum,24,"24,4",2,-,-,1988
FC Bayern München,23,"25,3",3,-,-,1989
SV Werder Bremen,24,"27,0",2,-,-,1989
1.FC Kaiserslautern,27,"25,1",5,-,-,1989
FC St. Pauli,23,"26,8",3,-,-,1989
Bayer 05 Uerdingen,28,"24,3",2,-,-,1989
1.FC Köln,22,"26,0",4,-,-,1989
Fortuna Düsseldorf,23,"24,7",5,-,-,1989
FC 08 Homburg,25,"24,7",5,-,-,1989
1.FC Nürnberg,24,"25,4",3,-,-,1989
Hamburger SV,27,"25,0",3,-,-,1989
Bayer 04 Leverkusen,28,"24,2",4,-,-,1989
Karlsruher SC,26,"24,8",2,-,-,1989
Borussia Dortmund,24,"25,6",2,-,-,1989
VfB Stuttgart,23,"25,0",5,-,-,1989
Borussia Mönchengladbach,31,"24,8",6,-,-,1989
VfL Bochum,27,"24,6",3,-,-,1989
Eintracht Frankfurt,24,"26,0",3,-,-,1989
SV Waldhof Mannheim,26,"25,0",3,-,-,1989
FC Bayern München,28,"24,3",4,-,-,1990
SV Werder Bremen,22,"26,6",3,-,-,1990
1.FC Kaiserslautern,27,"25,5",5,-,-,1990
FC St. Pauli,25,"26,4",4,-,-,1990
Bayer 05 Uerdingen,26,"25,2",4,-,-,1990
1.FC Köln,24,"25,4",4,-,-,1990
Fortuna Düsseldorf,25,"25,2",5,-,-,1990
SG Wattenscheid 09,23,"25,5",3,-,-,1990
1.FC Nürnberg,26,"25,5",3,-,-,1990
Hamburger SV,24,"25,7",4,-,-,1990
Bayer 04 Leverkusen,23,"25,3",4,-,-,1990
Hertha BSC,26,"26,3",3,-,-,1990
Borussia Dortmund,26,"24,7",3,-,-,1990
Karlsruher SC,27,"25,0",2,-,-,1990
Borussia Mönchengladbach,26,"24,5",3,-,-,1990
VfB Stuttgart,24,"24,9",3,-,-,1990
Eintracht Frankfurt,29,"26,2",5,-,-,1990
VfL Bochum,26,"25,1",3,-,-,1990
FC Bayern München,29,"25,5",5,-,-,1991
VfB Stuttgart,25,"24,9",3,-,-,1991
1.FC Kaiserslautern,25,"26,2",5,-,-,1991
FC Hansa Rostock,27,"25,6",3,-,-,1991
VfL Bochum,27,"25,4",4,-,-,1991
1.FC Köln,28,"24,8",4,-,-,1991
FC Schalke 04,28,"25,3",3,-,-,1991
SV Werder Bremen,29,"26,2",4,-,-,1991
1.FC Nürnberg,27,"25,3",2,-,-,1991
Fortuna Düsseldorf,28,"25,1",6,-,-,1991
SG Wattenscheid 09,27,"26,0",4,-,-,1991
Bayer 04 Leverkusen,24,"24,8",4,-,-,1991
Hamburger SV,27,"25,4",6,-,-,1991
SG Dynamo Dresden,24,"25,9",0,-,-,1991
Borussia Dortmund,24,"25,0",3,-,-,1991
Karlsruher SC,27,"25,6",2,-,-,1991
Borussia Mönchengladbach,22,"25,6",2,-,-,1991
MSV Duisburg,24,"28,1",5,-,-,1991
Eintracht Frankfurt,23,"26,8",2,-,-,1991
Stuttgarter Kickers,26,"25,0",4,-,-,1991
Eintracht Frankfurt,29,"25,9",9,-,-,1992
Bayer 05 Uerdingen,26,"25,4",5,-,-,1992
1.FC Saarbrücken,26,"26,7",5,-,-,1992
FC Bayern München,29,"25,8",6,-,-,1992
SG Wattenscheid 09,26,"27,7",5,-,-,1992
1.FC Kaiserslautern,28,"25,9",6,-,-,1992
FC Schalke 04,28,"25,6",4,-,-,1992
SG Dynamo Dresden,27,"24,4",2,-,-,1992
1.FC Köln,29,"25,3",7,-,-,1992
Hamburger SV,26,"25,0",6,-,-,1992
1.FC Nürnberg,27,"24,8",4,-,-,1992
Karlsruher SC,27,"25,2",6,-,-,1992
Bayer 04 Leverkusen,25,"24,8",4,-,-,1992
VfB Stuttgart,25,"25,4",4,-,-,1992
Borussia Dortmund,27,"25,1",3,-,-,1992
VfL Bochum,28,"26,3",5,-,-,1992
Borussia Mönchengladbach,24,"25,6",4,-,-,1992
SV Werder Bremen,30,"27,4",5,-,-,1992
FC Bayern München,30,"25,4",6,-,-,1993
SG Wattenscheid 09,29,"27,3",5,-,-,1993
1.FC Kaiserslautern,30,"26,3",5,-,-,1993
FC Schalke 04,27,"25,6",7,-,-,1993
SG Dynamo Dresden,30,"25,2",6,-,-,1993
1.FC Köln,28,"25,4",8,-,-,1993
Hamburger SV,30,"24,9",7,-,-,1993
VfB Leipzig,27,"25,7",5,-,-,1993
1.FC Nürnberg,28,"26,1",5,-,-,1993
Karlsruher SC,30,"26,1",6,-,-,1993
Bayer 04 Leverkusen,25,"26,1",4,-,-,1993
MSV Duisburg,28,"26,8",9,-,-,1993
Borussia Dortmund,27,"25,5",5,-,-,1993
SC Freiburg,27,"25,3",6,-,-,1993
Borussia Mönchengladbach,28,"25,1",5,-,-,1993
VfB Stuttgart,28,"25,5",4,-,-,1993
Eintracht Frankfurt,30,"25,5",9,-,-,1993
SV Werder Bremen,26,"27,9",4,-,-,1993
FC Schalke 04,28,"25,4",7,-,-,1994
SV Werder Bremen,26,"28,6",5,-,-,1994
1.FC Kaiserslautern,26,"27,3",5,-,-,1994
Hamburger SV,29,"26,4",9,-,-,1994
Bayer 05 Uerdingen,24,"25,1",6,-,-,1994
1.FC Köln,27,"26,3",8,-,-,1994
Karlsruher SC,29,"25,7",5,-,-,1994
SG Dynamo Dresden,33,"25,8",7,-,-,1994
Bayer 04 Leverkusen,33,"25,1",7,-,-,1994
MSV Duisburg,32,"26,5",8,-,-,1994
Borussia Dortmund,25,"25,8",6,-,-,1994
SC Freiburg,23,"26,4",6,-,-,1994
Borussia Mönchengladbach,25,"25,6",4,-,-,1994
TSV 1860 München,31,"27,0",6,-,-,1994
Eintracht Frankfurt,33,"24,6",10,-,-,1994
VfB Stuttgart,28,"24,6",7,-,-,1994
FC Bayern München,28,"25,4",7,-,-,1994
VfL Bochum,28,"26,1",5,-,-,1994
FC Hansa Rostock,27,"26,5",4,-,-,1995
FC Schalke 04,24,"27,6",6,-,-,1995
FC St. Pauli,27,"27,2",7,-,-,1995
KFC Uerdingen 05,25,"26,9",7,-,-,1995
Bayer 04 Leverkusen,36,"24,6",8,-,-,1995
Borussia Dortmund,29,"27,2",6,-,-,1995
Hamburger SV,33,"25,8",8,-,-,1995
Borussia Mönchengladbach,27,"25,6",7,-,-,1995
Eintracht Frankfurt,37,"25,4",12,-,-,1995
SC Freiburg,27,"27,0",7,-,-,1995
TSV 1860 München,26,"26,9",6,-,-,1995
VfB Stuttgart,33,"25,3",7,-,-,1995
1.FC Köln,29,"26,4",9,-,-,1995
Fortuna Düsseldorf,32,"26,6",11,-,-,1995
Karlsruher SC,26,"26,3",4,-,-,1995
FC Bayern München,24,"27,3",5,-,-,1995
SV Werder Bremen,28,"28,0",7,-,-,1995
1.FC Kaiserslautern,29,"27,0",6,-,-,1995
FC Schalke 04,30,"27,7",9,-,-,1996
VfB Stuttgart,33,"25,5",12,-,-,1996
1.FC Köln,34,"26,4",12,-,-,1996
FC St. Pauli,33,"25,9",5,-,-,1996
VfL Bochum,27,"25,0",9,-,-,1996
Arminia Bielefeld,31,"28,5",8,-,-,1996
Fortuna Düsseldorf,36,"26,6",13,-,-,1996
SV Werder Bremen,30,"27,7",9,-,-,1996
Bayer 04 Leverkusen,28,"25,0",8,-,-,1996
Hamburger SV,33,"26,2",11,-,-,1996
Borussia Dortmund,38,"25,3",11,-,-,1996
Karlsruher SC,31,"25,7",5,-,-,1996
Borussia Mönchengladbach,30,"26,1",10,-,-,1996
MSV Duisburg,26,"27,4",7,-,-,1996
FC Bayern München,25,"25,9",2,-,-,1996
SC Freiburg,32,"26,8",9,-,-,1996
FC Hansa Rostock,28,"27,4",6,-,-,1996
TSV 1860 München,31,"26,5",9,-,-,1996
FC Hansa Rostock,28,"27,8",8,-,-,1997
VfL Bochum,27,"26,1",8,-,-,1997
1.FC Kaiserslautern,28,"28,3",10,-,-,1997
FC Schalke 04,26,"27,4",11,-,-,1997
VfL Wolfsburg,28,"27,6",10,-,-,1997
1.FC Köln,35,"26,0",12,-,-,1997
Hamburger SV,37,"25,9",16,-,-,1997
SV Werder Bremen,34,"27,4",9,-,-,1997
Arminia Bielefeld,30,"26,7",10,-,-,1997
Hertha BSC,26,"25,7",11,-,-,1997
Bayer 04 Leverkusen,32,"25,7",12,-,-,1997
Karlsruher SC,29,"26,0",9,-,-,1997
Borussia Dortmund,33,"26,8",12,-,-,1997
MSV Duisburg,28,"27,1",10,-,-,1997
Borussia Mönchengladbach,26,"26,2",9,-,-,1997
TSV 1860 München,30,"27,1",11,-,-,1997
FC Bayern München,30,"25,3",8,-,-,1997
VfB Stuttgart,28,"26,3",11,-,-,1997
FC Hansa Rostock,30,"27,6",12,-,-,1998
VfL Bochum,31,"26,5",11,-,-,1998
1.FC Kaiserslautern,25,"27,4",10,-,-,1998
FC Schalke 04,31,"27,9",15,-,-,1998
VfL Wolfsburg,28,"26,7",10,-,-,1998
1.FC Nürnberg,32,"27,7",9,-,-,1998
Hamburger SV,34,"26,9",16,-,-,1998
SV Werder Bremen,33,"26,2",12,-,-,1998
Bayer 04 Leverkusen,29,"26,2",14,-,-,1998
Hertha BSC,30,"26,6",15,-,-,1998
Borussia Dortmund,33,"27,7",12,-,-,1998
MSV Duisburg,30,"27,3",12,-,-,1998
Borussia Mönchengladbach,35,"25,8",9,-,-,1998
SC Freiburg,31,"25,9",13,-,-,1998
Eintracht Frankfurt,35,"25,9",13,-,-,1998
TSV 1860 München,36,"26,1",15,-,-,1998
FC Bayern München,30,"26,1",10,-,-,1998
VfB Stuttgart,35,"25,9",15,-,-,1998
MSV Duisburg,30,"27,5",8,-,-,1999
FC Bayern München,32,"26,5",12,-,-,1999
Bayer 04 Leverkusen,33,"25,7",15,-,-,1999
Hertha BSC,32,"27,7",17,-,-,1999
Borussia Dortmund,32,"26,8",14,-,-,1999
1.FC Kaiserslautern,29,"28,1",13,-,-,1999
VfL Wolfsburg,33,"27,5",11,-,-,1999
TSV 1860 München,35,"26,5",14,-,-,1999
FC Schalke 04,32,"27,7",16,-,-,1999
VfB Stuttgart,31,"26,5",17,-,-,1999
SC Freiburg,30,"25,5",12,-,-,1999
SV Werder Bremen,34,"27,0",16,-,-,1999
FC Hansa Rostock,29,"27,7",9,-,-,1999
Hamburger SV,30,"26,6",15,-,-,1999
Eintracht Frankfurt,28,"27,4",10,-,-,1999
Arminia Bielefeld,32,"26,4",12,-,-,1999
SpVgg Unterhaching,29,"28,0",1,-,-,1999
SSV Ulm 1846,30,"26,2",9,-,-,1999
Borussia Dortmund,36,"25,8",14,-,-,2000
Bayer 04 Leverkusen,34,"24,8",19,-,-,2000
FC Bayern München,30,"26,5",13,-,-,2000
TSV 1860 München,38,"26,5",15,-,-,2000
1.FC Kaiserslautern,34,"26,9",17,-,-,2000
Hamburger SV,36,"28,0",15,-,-,2000
SC Freiburg,29,"24,9",14,-,-,2000
1.FC Köln,33,"25,2",14,-,-,2000
SpVgg Unterhaching,32,"27,9",7,-,-,2000
VfB Stuttgart,38,"25,3",17,-,-,2000
SV Werder Bremen,34,"26,4",14,-,-,2000
Eintracht Frankfurt,44,"26,0",17,-,-,2000
FC Schalke 04,32,"27,6",15,-,-,2000
FC Hansa Rostock,30,"28,0",10,-,-,2000
VfL Wolfsburg,30,"26,9",14,-,-,2000
VfL Bochum,33,"27,4",14,-,-,2000
Hertha BSC,30,"26,9",15,-,-,2000
FC Energie Cottbus,33,"27,2",22,-,-,2000
Borussia Dortmund,34,"25,6",15,-,-,2001
FC Bayern München,32,"26,6",14,-,-,2001
FC Schalke 04,35,"27,1",20,-,-,2001
Borussia Mönchengladbach,30,"26,9",14,-,-,2001
Bayer 04 Leverkusen,32,"24,6",14,-,-,2001
Hertha BSC,31,"25,9",19,-,-,2001
VfB Stuttgart,32,"25,1",11,-,-,2001
VfL Wolfsburg,33,"26,8",20,-,-,2001
1.FC Kaiserslautern,36,"26,5",17,-,-,2001
SV Werder Bremen,30,"26,1",15,-,-,2001
1.FC Köln,31,"26,1",15,-,-,2001
1.FC Nürnberg,33,"26,3",13,-,-,2001
TSV 1860 München,37,"28,1",17,-,-,2001
FC Hansa Rostock,30,"28,3",8,-,-,2001
SC Freiburg,33,"24,7",15,-,-,2001
FC Energie Cottbus,32,"27,6",20,-,-,2001
Hamburger SV,32,"27,4",16,-,-,2001
FC St. Pauli,33,"26,2",13,-,-,2001
FC Bayern München,30,"26,6",14,-,-,2002
Borussia Dortmund,34,"25,4",14,-,-,2002
Bayer 04 Leverkusen,38,"24,9",19,-,-,2002
FC Schalke 04,35,"26,3",20,-,-,2002
1.FC Kaiserslautern,31,"27,0",16,-,-,2002
Hamburger SV,29,"27,3",18,-,-,2002
Borussia Mönchengladbach,37,"26,2",15,-,-,2002
Hannover 96,33,"27,1",20,-,-,2002
TSV 1860 München,29,"28,1",14,-,-,2002
1.FC Nürnberg,30,"25,7",13,-,-,2002
VfL Wolfsburg,32,"26,6",18,-,-,2002
VfB Stuttgart,34,"25,9",14,-,-,2002
FC Energie Cottbus,34,"28,0",18,-,-,2002
FC Hansa Rostock,26,"27,5",11,-,-,2002
SV Werder Bremen,31,"24,9",14,-,-,2002
Arminia Bielefeld,31,"27,2",16,-,-,2002
Hertha BSC,34,"26,2",21,-,-,2002
VfL Bochum,30,"26,3",16,-,-,2002
FC Bayern München,30,"26,0",14,-,-,2003
FC Schalke 04,34,"26,5",20,-,-,2003
SV Werder Bremen,29,"25,6",14,-,-,2003
Bayer 04 Leverkusen,30,"25,3",13,-,-,2003
Borussia Dortmund,36,"26,2",18,-,-,2003
Hertha BSC,29,"26,2",16,-,-,2003
VfB Stuttgart,31,"25,0",16,-,-,2003
Hamburger SV,30,"25,9",13,-,-,2003
VfL Wolfsburg,33,"25,6",20,-,-,2003
VfL Bochum,30,"26,4",17,-,-,2003
Eintracht Frankfurt,32,"27,0",15,-,-,2003
TSV 1860 München,33,"25,8",16,-,-,2003
Borussia Mönchengladbach,38,"26,8",18,-,-,2003
FC Hansa Rostock,28,"27,9",13,-,-,2003
1.FC Köln,32,"26,0",9,-,-,2003
SC Freiburg,30,"25,5",16,-,-,2003
Hannover 96,36,"25,8",21,-,-,2003
1.FC Kaiserslautern,37,"26,8",18,-,-,2003
FC Bayern München,29,"27,6",14,"6,04 Mio. €","175,30 Mio. €",2004
SV Werder Bremen,29,"25,0",14,"3,40 Mio. €","98,48 Mio. €",2004
Bayer 04 Leverkusen,32,"24,8",15,"2,72 Mio. €","86,93 Mio. €",2004
FC Schalke 04,33,"25,6",15,"2,62 Mio. €","86,33 Mio. €",2004
VfB Stuttgart,31,"25,5",14,"2,56 Mio. €","79,50 Mio. €",2004
Borussia Dortmund,36,"24,5",18,"2,18 Mio. €","78,33 Mio. €",2004
Hertha BSC,30,"26,3",14,"2,39 Mio. €","71,78 Mio. €",2004
Hamburger SV,31,"24,9",16,"2,12 Mio. €","65,60 Mio. €",2004
VfL Wolfsburg,28,"27,3",18,"2,12 Mio. €","59,30 Mio. €",2004
Borussia Mönchengladbach,37,"27,2",19,"1,38 Mio. €","50,93 Mio. €",2004
Hannover 96,35,"26,1",23,"1,23 Mio. €","42,98 Mio. €",2004
1.FC Nürnberg,29,"25,6",12,"1,20 Mio. €","34,90 Mio. €",2004
1.FC Kaiserslautern,32,"26,6",14,"1,05 Mio. €","33,75 Mio. €",2004
VfL Bochum,33,"26,3",22,952 Tsd. €,"31,40 Mio. €",2004
FC Hansa Rostock,28,"27,5",14,925 Tsd. €,"25,90 Mio. €",2004
Arminia Bielefeld,35,"25,9",17,704 Tsd. €,"24,65 Mio. €",2004
SC Freiburg,32,"25,8",19,701 Tsd. €,"22,43 Mio. €",2004
1.FSV Mainz 05,32,"27,6",7,523 Tsd. €,"16,73 Mio. €",2004
FC Bayern München,28,"27,8",14,"6,35 Mio. €","177,88 Mio. €",2005
SV Werder Bremen,28,"25,1",13,"3,99 Mio. €","111,60 Mio. €",2005
Hamburger SV,35,"24,6",17,"3,05 Mio. €","106,90 Mio. €",2005
FC Schalke 04,32,"25,2",15,"2,72 Mio. €","87,18 Mio. €",2005
Bayer 04 Leverkusen,33,"24,5",15,"2,46 Mio. €","81,23 Mio. €",2005
Borussia Dortmund,35,"23,6",14,"2,24 Mio. €","78,53 Mio. €",2005
Hertha BSC,31,"25,8",20,"2,35 Mio. €","72,70 Mio. €",2005
VfB Stuttgart,33,"26,0",13,"2,12 Mio. €","69,80 Mio. €",2005
VfL Wolfsburg,32,"27,5",22,"1,92 Mio. €","61,38 Mio. €",2005
1.FC Nürnberg,32,"25,2",16,"1,63 Mio. €","52,13 Mio. €",2005
Borussia Mönchengladbach,34,"26,9",21,"1,47 Mio. €","49,90 Mio. €",2005
Hannover 96,33,"25,5",13,"1,37 Mio. €","45,35 Mio. €",2005
1.FC Köln,37,"26,5",16,"1,18 Mio. €","43,63 Mio. €",2005
Eintracht Frankfurt,32,"26,1",13,"1,25 Mio. €","39,95 Mio. €",2005
1.FSV Mainz 05,31,"25,9",9,"1,22 Mio. €","37,75 Mio. €",2005
1.FC Kaiserslautern,35,"26,5",15,"1,07 Mio. €","37,38 Mio. €",2005
Arminia Bielefeld,33,"26,3",15,995 Tsd. €,"32,85 Mio. €",2005
MSV Duisburg,31,"27,6",11,780 Tsd. €,"24,18 Mio. €",2005
FC Bayern München,30,"26,5",16,"6,02 Mio. €","180,73 Mio. €",2006
SV Werder Bremen,33,"24,9",14,"4,77 Mio. €","157,25 Mio. €",2006
FC Schalke 04,30,"24,7",14,"3,55 Mio. €","106,60 Mio. €",2006
Hamburger SV,36,"24,9",19,"2,83 Mio. €","101,83 Mio. €",2006
VfB Stuttgart,32,"25,3",11,"3,03 Mio. €","97,08 Mio. €",2006
Borussia Dortmund,32,"24,0",14,"2,49 Mio. €","79,78 Mio. €",2006
Bayer 04 Leverkusen,28,"25,1",14,"2,65 Mio. €","74,08 Mio. €",2006
Hertha BSC,32,"25,6",19,"2,29 Mio. €","73,40 Mio. €",2006
1.FC Nürnberg,31,"25,5",20,"2,11 Mio. €","65,45 Mio. €",2006
VfL Wolfsburg,30,"26,9",21,"1,86 Mio. €","55,90 Mio. €",2006
Eintracht Frankfurt,30,"25,6",12,"1,77 Mio. €","52,95 Mio. €",2006
Borussia Mönchengladbach,36,"24,6",18,"1,27 Mio. €","45,85 Mio. €",2006
Hannover 96,32,"26,1",15,"1,43 Mio. €","45,85 Mio. €",2006
VfL Bochum,32,"27,2",15,"1,28 Mio. €","41,00 Mio. €",2006
1.FSV Mainz 05,34,"25,6",15,"1,06 Mio. €","36,03 Mio. €",2006
Arminia Bielefeld,30,"26,7",12,"1,19 Mio. €","35,60 Mio. €",2006
Alemannia Aachen,31,"25,6",9,862 Tsd. €,"26,73 Mio. €",2006
FC Energie Cottbus,30,"26,4",18,885 Tsd. €,"26,55 Mio. €",2006
FC Bayern München,31,"25,7",14,"8,04 Mio. €","249,20 Mio. €",2007
SV Werder Bremen,37,"24,2",17,"4,31 Mio. €","159,55 Mio. €",2007
FC Schalke 04,34,"26,0",19,"3,70 Mio. €","125,85 Mio. €",2007
Hamburger SV,36,"24,1",24,"3,35 Mio. €","120,75 Mio. €",2007
VfB Stuttgart,35,"24,9",17,"3,11 Mio. €","108,85 Mio. €",2007
Bayer 04 Leverkusen,31,"24,2",12,"2,90 Mio. €","90,05 Mio. €",2007
Hertha BSC,36,"24,5",22,"2,25 Mio. €","81,00 Mio. €",2007
Borussia Dortmund,34,"25,5",17,"2,35 Mio. €","79,80 Mio. €",2007
VfL Wolfsburg,39,"25,6",25,"2,03 Mio. €","79,00 Mio. €",2007
Eintracht Frankfurt,34,"25,1",17,"1,99 Mio. €","67,80 Mio. €",2007
Hannover 96,31,"27,4",15,"1,94 Mio. €","60,20 Mio. €",2007
1.FC Nürnberg,33,"25,8",21,"1,74 Mio. €","57,45 Mio. €",2007
VfL Bochum,33,"25,9",17,"1,27 Mio. €","41,95 Mio. €",2007
Karlsruher SC,27,"25,5",9,"1,38 Mio. €","37,35 Mio. €",2007
Arminia Bielefeld,34,"26,4",11,"1,03 Mio. €","34,85 Mio. €",2007
FC Energie Cottbus,39,"26,1",24,794 Tsd. €,"30,95 Mio. €",2007
MSV Duisburg,38,"26,3",22,768 Tsd. €,"29,20 Mio. €",2007
FC Hansa Rostock,31,"26,4",12,889 Tsd. €,"27,55 Mio. €",2007
FC Bayern München,29,"26,2",14,"8,14 Mio. €","235,95 Mio. €",2008
Hamburger SV,38,"25,2",26,"4,13 Mio. €","156,88 Mio. €",2008
SV Werder Bremen,35,"24,2",17,"4,27 Mio. €","149,45 Mio. €",2008
VfL Wolfsburg,35,"25,5",24,"3,95 Mio. €","138,33 Mio. €",2008
Bayer 04 Leverkusen,31,"25,1",15,"3,87 Mio. €","120,10 Mio. €",2008
VfB Stuttgart,34,"25,0",13,"3,50 Mio. €","119,05 Mio. €",2008
FC Schalke 04,34,"24,9",19,"3,47 Mio. €","118,05 Mio. €",2008
Borussia Dortmund,39,"25,4",21,"2,71 Mio. €","105,83 Mio. €",2008
Hertha BSC,31,"24,9",21,"2,84 Mio. €","88,10 Mio. €",2008
TSG 1899 Hoffenheim,34,"23,7",14,"2,34 Mio. €","79,65 Mio. €",2008
Hannover 96,35,"26,0",17,"1,84 Mio. €","64,38 Mio. €",2008
